地点名,カテゴリ,緯度,経度,確認済み,説明,注意メモ,Google Maps URL
セイコーマート,コンビニ,44.054658,143.51561,FALSE,店舗種別: convenience / ブランド: セイコーマート,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/5468457824,"https://www.google.com/maps/search/?api=1&query=44.054658,143.51561"
セイコーマート 遠軽店,コンビニ,44.071152,143.530817,FALSE,店舗種別: convenience,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/4779308328,"https://www.google.com/maps/search/?api=1&query=44.071152,143.530817"
セイコーマート文苑店,コンビニ,43.017205,144.383171,FALSE,店舗種別: convenience,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/5665658424,"https://www.google.com/maps/search/?api=1&query=43.017205,144.383171"
セイコーマート置戸役場前,コンビニ,43.675722,143.586462,FALSE,店舗種別: convenience,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/4778918621,"https://www.google.com/maps/search/?api=1&query=43.675722,143.586462"
セブン-イレブン,コンビニ,42.989798,144.370101,FALSE,店舗種別: convenience / ブランド: セブン-イレブン,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/5707737928,"https://www.google.com/maps/search/?api=1&query=42.989798,144.370101"
セブン-イレブン,コンビニ,43.001177,144.37247,FALSE,店舗種別: convenience / ブランド: セブン-イレブン / 営業時間: 24/7,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/6867657785,"https://www.google.com/maps/search/?api=1&query=43.001177,144.37247"
セブン-イレブン,コンビニ,43.002984,144.404843,FALSE,店舗種別: convenience / ブランド: セブン-イレブン,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/5665735154,"https://www.google.com/maps/search/?api=1&query=43.002984,144.404843"
セブン-イレブン,コンビニ,43.006931,144.415289,FALSE,店舗種別: convenience / ブランド: セブン-イレブン / 営業時間: Mo-Su 06:00-23:00,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/5665735159,"https://www.google.com/maps/search/?api=1&query=43.006931,144.415289"
セブン-イレブン,コンビニ,43.010263,144.400158,FALSE,店舗種別: convenience / ブランド: セブン-イレブン,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/5112419921,"https://www.google.com/maps/search/?api=1&query=43.010263,144.400158"
セブン-イレブン,コンビニ,43.01363,144.413205,FALSE,店舗種別: convenience / ブランド: セブン-イレブン,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/5665735157,"https://www.google.com/maps/search/?api=1&query=43.01363,144.413205"
セブン-イレブン,コンビニ,43.062157,144.823373,FALSE,店舗種別: convenience / ブランド: セブン-イレブン / Web: https://www.sej.co.jp,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/3474680893,"https://www.google.com/maps/search/?api=1&query=43.062157,144.823373"
セブン-イレブン,コンビニ,43.433521,144.101586,FALSE,店舗種別: convenience / ブランド: セブン-イレブン,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/4299853104,"https://www.google.com/maps/search/?api=1&query=43.433521,144.101586"
セブン-イレブン,コンビニ,43.486647,144.454854,FALSE,店舗種別: convenience / ブランド: セブン-イレブン,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/5110940921,"https://www.google.com/maps/search/?api=1&query=43.486647,144.454854"
セブン-イレブン,コンビニ,43.806218,143.893009,FALSE,店舗種別: convenience / ブランド: 7-ELEVEN / 営業時間: 24/7,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/4328493769,"https://www.google.com/maps/search/?api=1&query=43.806218,143.893009"
セブン-イレブン,コンビニ,43.819397,144.116451,FALSE,店舗種別: convenience / ブランド: 7-ELEVEN / 営業時間: 24/7 / 電話: +81 152 72 0996 / Web: https://www.sej.co.jp/,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/11963924805,"https://www.google.com/maps/search/?api=1&query=43.819397,144.116451"
セブン-イレブン,コンビニ,43.881446,144.158845,FALSE,店舗種別: convenience / ブランド: 7-ELEVEN / Web: https://www.sej.co.jp/,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/6983858107,"https://www.google.com/maps/search/?api=1&query=43.881446,144.158845"
セブン-イレブン,コンビニ,43.996185,144.272208,FALSE,店舗種別: convenience / ブランド: セブン-イレブン,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/4127653132,"https://www.google.com/maps/search/?api=1&query=43.996185,144.272208"
セブン-イレブン,コンビニ,44.009488,144.275081,FALSE,店舗種別: convenience / ブランド: セブン-イレブン,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/2587044333,"https://www.google.com/maps/search/?api=1&query=44.009488,144.275081"
セブン-イレブン,コンビニ,44.022551,144.269943,FALSE,店舗種別: convenience / ブランド: 7-ELEVEN / 営業時間: 24/7 / Web: https://www.sej.co.jp/,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/11944655345,"https://www.google.com/maps/search/?api=1&query=44.022551,144.269943"
セブン-イレブン,コンビニ,44.024013,144.257081,FALSE,店舗種別: convenience / ブランド: 7-ELEVEN,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/11939102006,"https://www.google.com/maps/search/?api=1&query=44.024013,144.257081"
セブンイレブン,コンビニ,43.025914,144.365195,FALSE,店舗種別: convenience / ブランド: セブンイレブン,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/2553300293,"https://www.google.com/maps/search/?api=1&query=43.025914,144.365195"
セブンイレブン上湧別店,コンビニ,44.182096,143.590508,FALSE,店舗種別: convenience,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/4778707921,"https://www.google.com/maps/search/?api=1&query=44.182096,143.590508"
セブンイレブン釧路文苑1丁目店,コンビニ,43.02081,144.386582,FALSE,店舗種別: convenience,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/5665658422,"https://www.google.com/maps/search/?api=1&query=43.02081,144.386582"
ゼブンイレブン,コンビニ,44.062899,143.525744,FALSE,店舗種別: convenience,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/5468458023,"https://www.google.com/maps/search/?api=1&query=44.062899,143.525744"
タイエー,コンビニ,43.32006,145.562133,FALSE,店舗種別: convenience,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/5676981612,"https://www.google.com/maps/search/?api=1&query=43.32006,145.562133"
デイリーヤマザキ,コンビニ,43.433901,144.099256,FALSE,店舗種別: convenience / ブランド: デイリーヤマザキ / 運営: デイリーヤマザキ,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/5570321617,"https://www.google.com/maps/search/?api=1&query=43.433901,144.099256"
ローソン,コンビニ,42.997511,144.411147,FALSE,店舗種別: convenience / ブランド: LAWSON,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/13274103654,"https://www.google.com/maps/search/?api=1&query=42.997511,144.411147"
ローソン,コンビニ,43.001164,144.403038,FALSE,店舗種別: convenience / ブランド: ローソン,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/5665735153,"https://www.google.com/maps/search/?api=1&query=43.001164,144.403038"
ローソン,コンビニ,43.013299,144.378668,FALSE,店舗種別: convenience / ブランド: ローソン,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/5665693784,"https://www.google.com/maps/search/?api=1&query=43.013299,144.378668"
ローソン,コンビニ,43.231604,143.545516,FALSE,店舗種別: convenience / ブランド: ローソン,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/4920229224,"https://www.google.com/maps/search/?api=1&query=43.231604,143.545516"
ローソン,コンビニ,43.432759,144.097803,FALSE,店舗種別: convenience / ブランド: ローソン,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/4326458772,"https://www.google.com/maps/search/?api=1&query=43.432759,144.097803"
ローソン,コンビニ,43.433904,144.091597,FALSE,店舗種別: convenience / ブランド: ローソン,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/4326458773,"https://www.google.com/maps/search/?api=1&query=43.433904,144.091597"
ローソン,コンビニ,43.806173,143.895549,FALSE,店舗種別: convenience / ブランド: ローソン / 営業時間: 24/7,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/5209408489,"https://www.google.com/maps/search/?api=1&query=43.806173,143.895549"
ローソン,コンビニ,44.002152,144.281757,FALSE,店舗種別: convenience / ブランド: ローソン,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/4003653806,"https://www.google.com/maps/search/?api=1&query=44.002152,144.281757"
ローソン,コンビニ,44.026345,144.261967,FALSE,店舗種別: convenience / ブランド: ローソン,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/2587007487,"https://www.google.com/maps/search/?api=1&query=44.026345,144.261967"
ローソン 釧路鳥取大通店,コンビニ,43.013053,144.354259,FALSE,店舗種別: convenience / 運営: 株式会社ローソン / 営業時間: 24/7 / 電話: 81 154-53-1563,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/6728854024,"https://www.google.com/maps/search/?api=1&query=43.013053,144.354259"
ローソン遠軽南町店,コンビニ,44.041781,143.519623,FALSE,店舗種別: convenience,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/4779308325,"https://www.google.com/maps/search/?api=1&query=44.041781,143.519623"
ローソン遠軽大通店,コンビニ,44.06423,143.525858,FALSE,店舗種別: convenience,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/4779307825,"https://www.google.com/maps/search/?api=1&query=44.06423,143.525858"
ローソン釧路文苑店,コンビニ,43.017944,144.381624,FALSE,店舗種別: convenience,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/5665658423,"https://www.google.com/maps/search/?api=1&query=43.017944,144.381624"
情報無し,コンビニ,43.007251,144.345063,FALSE,店舗種別: convenience,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/705722305,"https://www.google.com/maps/search/?api=1&query=43.007251,144.345063"
情報無し,コンビニ,43.365026,145.79276,FALSE,店舗種別: convenience,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/5968155139,"https://www.google.com/maps/search/?api=1&query=43.365026,145.79276"
情報無し,コンビニ,43.651895,145.135388,FALSE,店舗種別: convenience,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/4891213880,"https://www.google.com/maps/search/?api=1&query=43.651895,145.135388"
情報無し,コンビニ,43.735817,145.522025,FALSE,店舗種別: convenience,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/4221620204,"https://www.google.com/maps/search/?api=1&query=43.735817,145.522025"
情報無し,コンビニ,43.736302,145.521261,FALSE,店舗種別: convenience,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/4221615583,"https://www.google.com/maps/search/?api=1&query=43.736302,145.521261"
摩周駅周辺 コンビニ候補エリア,コンビニ,43.4855,144.4573,FALSE,町中補給。次区間前の水・行動食確保ポイント。,具体店舗はOSM/Googleから追加取得。,"https://www.google.com/maps/search/?api=1&query=43.4855,144.4573"
知床斜里駅周辺 コンビニ候補エリア,コンビニ,43.911,144.6622,FALSE,知床方面前の補給候補。ここで水と行動食を確認。,具体店舗はOSM/Googleから追加取得。,"https://www.google.com/maps/search/?api=1&query=43.911,144.6622"
釧路市街地 コンビニ候補エリア,コンビニ,42.9845,144.3818,FALSE,出発前の最終補給エリア。水・食料・雨具確認。,具体店舗はOSM/Googleから追加取得。,"https://www.google.com/maps/search/?api=1&query=42.9845,144.3818"
鶴居村振興公社 酪楽館,コンビニ,43.227787,144.330334,FALSE,店舗種別: convenience / 営業時間: Mo-Su 10:00-17:00,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/7010927585,"https://www.google.com/maps/search/?api=1&query=43.227787,144.330334"
456,食事,44.063105,143.52501,FALSE,種別: bar,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/5468458421,"https://www.google.com/maps/search/?api=1&query=44.063105,143.52501"
APU,食事,44.070133,144.994534,FALSE,種別: cafe,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/13040590401,"https://www.google.com/maps/search/?api=1&query=44.070133,144.994534"
